Serial Number,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Title,Edition,Frequency,Place of Publication,Publisher,Year,Series Title,Physical Description,Notes,International Standard Book Number,International Standard Serial Number,Price,Reference Number
468,"Smith, Rachel",,,,,,,,,,"LONGMAN English leap. Reading. 3A, Teacher's edition / Rachel Smith.",,,Hong Kong,Pearson Education Asia Limited,2018,,30 p. : ill. ; 30 cm.,,978-988-239-560-2 (pbk.),,Unpriced,2018-01605
469,"Smith, Rachel",,,,,,,,,,"LONGMAN English leap. Reading. 4A, Teacher's edition / Rachel Smith.",,,Hong Kong,Pearson Education Asia Limited,2018,,34 p. : ill. ; 30 cm.,,978-988-239-561-9 (pbk.),,Unpriced,2018-01606
470,"Smith, Rachel",,,,,,,,,,"LONGMAN English leap. Reading. 5A, Teacher's edition / Rachel Smith.",,,Hong Kong,Pearson Education Asia Limited,2018,,34 p. : ill. ; 30 cm.,,978-988-239-562-6 (pbk.),,Unpriced,2018-01607
471,"Chapman, Ryan",,,,,,,,,,"LONGMAN English leap. Workbook. 1A, Teacher's edition / Ryan Chapman.",,,Hong Kong,Pearson Education Asia Limited,2018,,32 p. : ill. ; 30 cm.,,978-988-239-534-3 (pbk.),,Unpriced,2018-01613
472,"Chapman, Ryan",,,,,,,,,,"LONGMAN English leap. Workbook. 2A, Teacher's edition / Ryan Chapman.",,,Hong Kong,Pearson Education Asia Limited,2018,,32 p. : ill. ; 30 cm.,,978-988-239-535-0 (pbk.),,Unpriced,2018-01614
473,"Booker, Richard",,,,,,,,,,LONGMAN English spark!. Grammar. JS1 / Richard Booker.,,,Hong Kong,Pearson Education Asia Limited,2017,,201 p. : ill. ; 29 cm.,,978-988-239-318-9 (pbk.),,$145.00,2018-01648
474,"Booker, Richard",,,,,,,,,,"LONGMAN English spark!. Grammar. JS1, Teacher's edition / Richard Booker.",,,Hong Kong,Pearson Education Asia Limited,2017,,201 p. : ill. ; 29 cm.,,978-988-239-399-8 (pbk.),,Unpriced,2018-01649
475,"Booker, Richard",,,,,,,,,,"LONGMAN English spark!. Grammar. JS2, Teacher's edition / Richard Booker.",,,Hong Kong,Pearson Education Asia Limited,2017,,185 p. : ill. ; 29 cm.,,978-988-239-400-1 (pbk.),,Unpriced,2018-01650
476,"Booker, Richard",,,,,,,,,,"LONGMAN English spark!. Grammar. JS3, Teacher's edition / Richard Booker.",,,Hong Kong,Pearson Education Asia Limited,2017,,191 p. : ill. ; 29 cm.,,978-988-239-401-8 (pbk.),,Unpriced,2018-01651
477,"Potter, John","Rigby, Sarah","Wong, Kitty",,,,,,,,"LONGMAN English spark!. JS1A / John Potter, Sarah Rigby, Kitty Wong.",,,Hong Kong,Pearson Education Asia Limited,2017,,"84, 22 p. : col. ill. ; 29 cm.",,978-988-238-288-6 (pbk.),,$187.00,2018-01641
478,"Potter, John","Rigby, Sarah","Wong, Kitty",,,,,,,,"LONGMAN English spark!. JS1A, Teacher's edition / John Potter, Sarah Rigby, Kitty Wong.",,,Hong Kong,Pearson Education Asia Limited,2017,,"84, 22 p. : col. ill. ; 29 cm.",,978-988-239-390-5 (pbk.),,Unpriced,2018-01652
479,"Potter, John","Rigby, Sarah","Wong, Kitty",,,,,,,,"LONGMAN English spark!. JS1A, Teacher's guide / John Potter, Sarah Rigby, Kitty Wong.",,,Hong Kong,Pearson Education Asia Limited,2017,,112 p. : ill. ; 29 cm.,,978-988-239-309-7 (pbk.),,Unpriced,2018-01658
480,"Potter, John","Rigby, Sarah","Wong, Kitty",,,,,,,,"LONGMAN English spark!. JS1B, Teacher's edition / John Potter, Sarah Rigby, Kitty Wong.",,,Hong Kong,Pearson Education Asia Limited,2017,,"84, 23 p. : col. ill. ; 29 cm.",,978-988-239-391-2 (pbk.),,Unpriced,2018-01653
481,"Potter, John","Rigby, Sarah","Wong, Kitty",,,,,,,,"LONGMAN English spark!. JS1B, Teacher's guide / John Potter, Sarah Rigby, Kitty Wong.",,,Hong Kong,Pearson Education Asia Limited,2017,,114 p. : ill. ; 29 cm.,,978-988-239-310-3 (pbk.),,Unpriced,2018-01659
482,"Potter, John","Rigby, Sarah","Wong, Kitty",,,,,,,,"LONGMAN English spark!. JS2A, Teacher's edition / John Potter, Sarah Rigby, Kitty Wong.",,,Hong Kong,Pearson Education Asia Limited,2017,,"82, 22 p. : col. ill. ; 29 cm.",,978-988-239-392-9 (pbk.),,Unpriced,2018-01654
483,"Potter, John","Rigby, Sarah","Wong, Kitty",,,,,,,,"LONGMAN English spark!. JS2A, Teacher's guide / John Potter, Sarah Rigby, Kitty Wong.",,,Hong Kong,Pearson Education Asia Limited,2017,,117 p. : ill. ; 29 cm.,,978-988-239-311-0 (pbk.),,Unpriced,2018-01660
484,"Potter, John","Rigby, Sarah","Wong, Kitty",,,,,,,,"LONGMAN English spark!. JS2B, Teacher's edition / John Potter, Sarah Rigby, Kitty Wong.",,,Hong Kong,Pearson Education Asia Limited,2017,,"80, 23 p. : col. ill. ; 29 cm.",,978-988-239-393-6 (pbk.),,Unpriced,2018-01655
485,"Potter, John","Rigby, Sarah","Wong, Kitty",,,,,,,,"LONGMAN English spark!. JS3A, Teacher's edition / John Potter, Sarah Rigby, Kitty Wong.",,,Hong Kong,Pearson Education Asia Limited,2017,,"80, 32 p. : col. ill. ; 29 cm.",,978-988-239-394-3 (pbk.),,Unpriced,2018-01656
486,"Potter, John","Rigby, Sarah","Wong, Kitty",,,,,,,,"LONGMAN English spark!. JS3A, Teacher's guide / John Potter, Sarah Rigby, Kitty Wong.",,,Hong Kong,Pearson Education Asia Limited,2017,,114 p. : ill. ; 29 cm.,,978-988-239-313-4 (pbk.),,Unpriced,2018-01661
487,"Hill, Gary",,,,,,,,,,"LONGMAN English spark!. Listening book. JS1A, Teacher's edition / Gary Hill.",,,Hong Kong,Pearson Education Asia Limited,2017,,"48, 24, 40 p. : ill. ; 29 cm. + data file",,978-988-239-408-7 (pbk.),,Unpriced,2018-01644
488,"Hill, Gary",,,,,,,,,,LONGMAN English spark!. Listening book. JS1B / Gary Hill.,,,Hong Kong,Pearson Education Asia Limited,2017,,"62, 24 p. : ill. ; 29 cm. + data file",,978-988-239-076-8 (pbk.),,$82.00,2018-01642
489,"Hill, Gary",,,,,,,,,,"LONGMAN English spark!. Listening book. JS1B, Teacher's edition / Gary Hill.",,,Hong Kong,Pearson Education Asia Limited,2017,,"62, 24, 52 p. : ill. ; 29 cm. + data file",,978-988-239-409-4 (pbk.),,Unpriced,2018-01645
490,"Hill, Gary",,,,,,,,,,"LONGMAN English spark!. Listening book. JS2A, Teacher's edition / Gary Hill.",,,Hong Kong,Pearson Education Asia Limited,2017,,"52, 22, 50 p. : ill. ; 29 cm. + data file",,978-988-239-410-0 (pbk.),,Unpriced,2018-01646
491,"Hill, Gary",,,,,,,,,,LONGMAN English spark!. Listening book. JS2B / Gary Hill.,,,Hong Kong,Pearson Education Asia Limited,2017,,"65, 22 p. : ill. ; 29 cm. + data file",,978-988-239-078-2 (pbk.),,$84.00,2018-01643
492,"Hill, Gary",,,,,,,,,,"LONGMAN English spark!. Listening book. JS3A, Teacher's edition / Gary Hill.",,,Hong Kong,Pearson Education Asia Limited,2017,,"54, 24, 52 p. : ill. ; 29 cm. + data file",,978-988-239-412-4 (pbk.),,Unpriced,2018-01647
493,,,,,,,,,,,LONGMAN English spark!. Vocabulary booster for writing and speaking. JS1B.,,,Hong Kong,Pearson Education Asia Limited,2017,,53 p. : col. ill. ; 24 cm.,Text partially in Chinese,978-988-239-294-6 (pbk.),,$30.00,2018-01663
494,,,,,,,,,,,LONGMAN English spark!. Vocabulary booster for writing and speaking. JS2B.,,,Hong Kong,Pearson Education Asia Limited,2017,,47 p. : col. ill. ; 24 cm.,Text partially in Chinese,978-988-239-296-0 (pbk.),,$30.00,2018-01664
495,,,,,,,,,,,LONGMAN English spark!. Vocabulary booster for writing and speaking. JS3B.,,,Hong Kong,Pearson Education Asia Limited,2017,,46 p. : col. ill. ; 24 cm.,Text partially in Chinese,978-988-239-298-4 (pbk.),,$30.00,2018-01665
496,"Lanaway, Jeremy",,,,,,,,,,"LONGMAN English spark!. Workbook. JS3A, Teacher's edition / Jeremy Lanaway.",,,Hong Kong,Pearson Education Asia Limited,2017,,57 p. : ill. ; 27 cm.,,978-988-238-966-3 (pbk.),,Unpriced,2018-01657
497,"Lanaway, Jeremy",,,,,,,,,,LONGMAN English spark!. Workbook. JS3B / Jeremy Lanaway.,,,Hong Kong,Pearson Education Asia Limited,2017,,57 p. : ill. ; 27 cm.,,978-988-238-955-7 (pbk.),,Unpriced,2018-01662
498,"Lewis, Mike",,,,,,,,,,LONGMAN English world. Grammar practice. 5B / Mike Lewis.,,,Hong Kong,Pearson Education Asia Limited,2016,,30 p. : ill. ; 27 cm. + grammar in focus,,978-988-238-265-7 (pbk.),,$105.00,2018-01599
499,"Lewis, Mike",,,,,,,,,,LONGMAN English world. Grammar practice. 5B / Mike Lewis.,International ed.,,Hong Kong,Pearson Education Asia Limited,2016,,30 p. : ill. ; 27 cm. + grammar in focus,,978-988-238-253-4 (pbk.),,$85.00,2018-01601
500,"Lewis, Mike",,,,,,,,,,"LONGMAN English world. Grammar practice. 5B, Teacher's edition / Mike Lewis.",,,Hong Kong,Pearson Education Asia Limited,2016,,30 p. : ill. ; 27 cm. + grammar in focus,,978-988-238-277-0 (pbk.),,Unpriced,2018-01597
501,"Lewis, Mike",,,,,,,,,,LONGMAN English world. Grammar practice. 6B / Mike Lewis.,,,Hong Kong,Pearson Education Asia Limited,2016,,31 p. : ill. ; 27 cm. + grammar in focus,,978-988-238-267-1 (pbk.),,$105.00,2018-01600
502,"Lewis, Mike",,,,,,,,,,LONGMAN English world. Grammar practice. 6B / Mike Lewis.,International ed.,,Hong Kong,Pearson Education Asia Limited,2016,,31 p. : ill. ; 27 cm. + grammar in focus,,978-988-238-255-8 (pbk.),,$85.00,2018-01602
503,"Lewis, Mike",,,,,,,,,,"LONGMAN English world. Grammar practice. 6B, Teacher's edition / Mike Lewis.",,,Hong Kong,Pearson Education Asia Limited,2016,,31 p. : ill. ; 27 cm. + grammar in focus,,978-988-238-279-4 (pbk.),,Unpriced,2018-01598
504,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. 1A, Teacher's guide / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,"126, 45 p. : col. ill. ; 27 cm.",,978-988-239-117-8 (pbk.),,$65.00,2018-01583
505,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. 1B, Teacher's guide / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,"85, 45 p. : col. ill. ; 27 cm.",,978-988-239-118-5 (pbk.),,$65.00,2018-01584
506,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. 2A / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,45 p. : col. ill. ; 27 cm. + stickers,,978-988-239-107-9 (pbk.),,$118.00,2018-01580
507,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. 2A, Teacher's guide / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,"129, 45 p. : col. ill. ; 27 cm.",,978-988-239-119-2 (pbk.),,$65.00,2018-01585
508,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. 2B / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,45 p. : col. ill. ; 27 cm. + stickers,,978-988-239-108-6 (pbk.),,$59.00,2018-01581
509,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. 3A, Teacher's guide / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,"142, 47 p. : col. ill. ; 27 cm.",,978-988-239-121-5 (pbk.),,$65.00,2018-01586
510,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. 3B / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,46 p. : col. ill. ; 27 cm. + stickers,,978-988-239-110-9 (pbk.),,$59.00,2018-01582
511,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. Grammar practice. 1B / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,32 p. : ill. ; 27 cm.,,978-988-239-150-5 (pbk.),,$59.00,2018-01593
512,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. Grammar practice. 2B / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,32 p. : ill. ; 27 cm.,,978-988-239-152-9 (pbk.),,$46.00,2018-01594
513,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. Grammar practice. 3B / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,32 p. : ill. ; 27 cm.,,978-988-239-154-3 (pbk.),,$46.00,2018-01595
514,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. Pre-task language practice. 1B / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,36 p. : ill. ; 27 cm.,,978-988-239-138-3 (pbk.),,$45.00,2018-01596
515,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. Reading and writing skills. 1A / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,28 p. : ill. ; 27 cm.,,978-988-239-155-0 (pbk.),,$46.00,2018-01587
516,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. Reading and writing skills. 1B / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,28 p. : ill. ; 27 cm.,,978-988-239-156-7 (pbk.),,$46.00,2018-01588
517,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. Reading and writing skills. 2A / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,28 p. : ill. ; 27 cm.,,978-988-239-157-4 (pbk.),,$46.00,2018-01589
518,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. Reading and writing skills. 2B / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,28 p. : ill. ; 27 cm.,,978-988-239-158-1 (pbk.),,$46.00,2018-01590
519,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. Reading and writing skills. 3A / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,28 p. : ill. ; 27 cm.,,978-988-239-159-8 (pbk.),,$98.00,2018-01591
520,"Dallas, Don","Pelham, Linda",,,,,,,,,"LONGMAN welcome to English gold. Reading and writing skills. 3B / Don Dallas, Linda Pelham.",,,Hong Kong,Pearson Education Asia Limited,2017,,28 p. : ill. ; 27 cm.,,978-988-239-160-4 (pbk.),,$46.00,2018-01592
521,"Loo, Andre","Chen, Carolyn","Fung, Yuk-sung",,,,,,,,"More than Cantonese : two-part allegorical sayings = 點止廣東話歇後語咁簡單 : 有啲你應該知不過唔好用 / Andre Loo, Carolyn Chen ; illustrated by Yuk-sung Fung ... [et al.].",,,Hong Kong,Greenwood Press,2017,,"iv, 139 p. : ill. ; 26 cm. + 1 CD-ROM",Text in Chinese and English,978-962-279-337-8 (pbk.),,$185.00,2018-00812
522,Luen Wong Group Holdings Limited,,,,,,,,,,Luen Wong Group Holdings Limited interim report 2017 = 聯旺集團控股有限公司中期業績報告2017.,,,Hong Kong,Luen Wong Group Holdings Limited,2017,,"30, 30 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00272
523,Luk Hing Entertainment Group Holdings Limited,,,,,,,,,,Luk Hing Entertainment Group Holdings Limited third quarterly report 2017 = 陸慶娛樂集團控股有限公司第三季度業績報告2017.,,,Hong Kong,Luk Hing Entertainment Group Holdings Limited,2017,,"20, 20 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00762
524,Lumina Group Limited,,,,,,,,,,Lumina Group Limited 2017 interim report = 瑩嵐集團有限公司2017中期報告.,,,Hong Kong,Lumina Group Limited,2017,,"26, 26 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00745
525,,,,,,,,,,,LUXE Los Angeles.,7th ed.,,Hong Kong,Luxe Limited,2018,Luxe city guides,1 folded sheet (23 p.) ; 16 cm.,,978-988-8335-46-6 (unbound),,$158.00,2018-02363
526,,,,,,,,,,,LUXE New York.,8th ed.,,Hong Kong,Luxe Limited,2018,Luxe city guides,1 folded sheet (23 p.) ; 16 cm.,,978-988-8335-42-8 (unbound),,$158.00,2018-02364
527,"Ma, Changshan","Li, Guobin","Zhao, Jinji","Liu, Hong",,,,,,,"A biography of king tiger = 動物也做戲 / written by Ma Changshan ; translated by Li Guobin, Zhao Jinji ; illustrated by Liu Hong.",,,Hong Kong,China Culture Development Press,2017,,261 p. : ill. ; 21 cm.,Text in simplified Chinese and English,978-988-77755-0-8 (pbk.),,$25.00,2018-02504
528,"Wong, Ian Nam","Un Se, Jorge",,,,,,,,,"MACAU discovering mathematics (BAA). 1B, Teacher's guide / edited by Wong Ian Nam, Jorge Un Se.",,,Hong Kong,Times Publishing (Hong Kong) Limited,2017,,various paging : col. ill. ; 28 cm.,,978-988-8433-43-8 (pbk.),,Unpriced,2018-02350
529,"Mackay, Charles",郝瑞麗,,,,,,,,,Some extraordinary popular delusions = 非同尋常的大眾幻想 / Charles Mackay ; translated by 郝瑞麗.,,,Hong Kong,The Commercial Press (Hong Kong) Limited,2017,Penguin great ideas ; 2,"viii, 236 p. ; 21 cm.",Text in Chinese and English,978-962-07-5732-7 (pbk.),,$82.00,2018-02072
530,Major Holdings Limited,,,,,,,,,,Major Holdings Limited interim report 2017 = 美捷滙控股有限公司中期報告2017.,,,Hong Kong,Major Holdings Limited,2017,,"28, 28 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00776
531,Marine Department. Hydrographic Office,,,,,,,,,,"Hong Kong, China, Lamma Channels = 中國香港博寮海峽 / Hydrographic Office Marine Department.",5th ed.,,Hong Kong,Marine Department. Hydrographic Office,2018,HK1501,1 map : col. ; 84 x 119 cm. folded to 30 x 21 cm.,Text in Chinese and English,978-962-8207-75-6,,$255.00,2018-02932
532,"Cheuk, W. H.","Kwan, C. K.",,,,,,,,,"MATHEMATICS : Conventional questions. Compulsory part / W.H. Cheuk, C.K. Kwan.",Compact ed.,,Hong Kong,Pan Lloyds Publishers Limited,2018,HKDSE exam series,"436 p. : ill., charts ; 29 cm.",,978-988-8467-45-7 (pbk.),,$165.00,2018-01810
533,"Yeung, W. S.",,,,,,,,,,MATHEMATICS. Extended part. Mock exam papers. Module 2 / W.S. Yeung.,2018/19 ed.,,Hong Kong,Pan Lloyds Publishers Limited,2017,HKDSE exam series,various paging : ill. ; 29 cm.,,978-988-8467-46-4 (sp.),,$85.00,2018-01809
534,"Wong, Ashley",,,,,,,,,,"MATHEMATICS. Form 2, Inspiring revision exercises for junior secondary students / Ashley Wong.",2nd ed.,,Hong Kong,Wise Plus Publishing Limited,2015,Inspiring series,216 p. : ill. ; 30 cm.,,978-988-13481-4-2 (pbk.),,$88.00,2018-00809
535,,,,,,,,,,,"MATHEMATICS in action. 2B, Question bank.",3rd ed.,,Hong Kong,Pearson Education Asia Limited,2016,,"ix, 464 p. : ill. ; 30 cm.",,978-988-233-495-3 (pbk.),,Unpriced,2018-01569
536,,,,,,,,,,,"MATHEMATICS in action. 3A, Question bank.",3rd ed.,,Hong Kong,Pearson Education Asia Limited,2017,,"ix, 303 p. : ill. ; 30 cm.",,978-988-233-496-0 (pbk.),,Unpriced,2018-01570
537,,,,,,,,,,,MATHEMATICS in action. Full solutions to exercises 3A.,3rd ed.,,Hong Kong,Pearson Education Asia Limited,2017,,137 p. : ill. ; 26 cm.,,978-988-233-472-4 (pbk.),,Unpriced,2018-01565
538,,,,,,,,,,,MATHEMATICS in action. Full solutions to exercises 3B.,3rd ed.,,Hong Kong,Pearson Education Asia Limited,2017,,215 p. : ill. ; 26 cm.,,978-988-233-473-1 (pbk.),,Unpriced,2018-01566
539,,,,,,,,,,,MATHEMATICS in action. Supplementary exercises. 2A.,3rd ed.,,Hong Kong,Pearson Education Asia Limited,2016,,"129 p. ; ill., charts ; 30 cm. + answers",Text partially in Chinese,978-988-233-882-1 (pbk.),,$45.00,2018-01571
540,,,,,,,,,,,MATHEMATICS in action. Supplementary exercises. 2B.,3rd ed.,,Hong Kong,Pearson Education Asia Limited,2016,,131 p. ; ill. ; 30 cm. + answers,Text partially in Chinese,978-988-233-883-8 (pbk.),,$45.00,2018-01572
541,Maxnerva Technology Services Limited,,,,,,,,,,Maxnerva Technology Services Limited interim report 2017/18 = 雲智匯科技服務有限公司中期報告2017/18.,,,Hong Kong,Maxnerva Technology Services Limited,2017,,52 p. ; 21 cm.,Text in Chinese and English,,,Unpriced (pbk.),2018-00772
542,Media Asia Group Holdings Limited,,,,,,,,,,Media Asia Group Holdings Limited first quarterly report for the three months ended 31 October 2017 = 寰亞傳媒集團有限公司第一季度報告截至二零一七年十月三十一日止三個月.,,,Hong Kong,Media Asia Group Holdings Limited,2017,,"14, 14 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00065
543,Mei Ah Entertainment Group Limited,,,,,,,,,,Mei Ah Entertainment Group Limited 2017/18 interim report = 美亞娛樂資訊集團有限公司2017/18中期報告.,,,Hong Kong,Mei Ah Entertainment Group Limited,2017,,"30, 30 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00801
544,MEIGU Technology Holding Group Limited,,,,,,,,,,MEIGU Technology Holding Group Limited third quarterly report 2017 = 美固科技控股集團有限公司第三季度業績報告2017.,,,Hong Kong,MEIGU Technology Holding Group Limited,2017,,"28, 28 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00759
545,"Lau, Kenny",,,,,,,,,,MEMBERS directory 2018 / edited by Kenny Lau.,,,Hong Kong,The American Chamber of Commerce in Hong Kong,2017,,"512 p. : col. ill., col. port ; 21 cm.",Includes index,978-962-7422-78-5 (pbk.),,$1500.00,2018-02357
546,Merdeka Financial Services Group Limited,,,,,,,,,,Merdeka Financial Services Group Limited third quarterly report 2017 = 萬德金融服務集團有限公司二零一七年第三季度報告.,,,Hong Kong,Merdeka Financial Services Group Limited,2017,,"40, 40 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00766
547,Mexan Limited,,,,,,,,,,Mexan Limited interim report 2017/18 = 茂盛控股有限公司中期報告2017/18.,,,Hong Kong,Mexan Limited,2017,,"24, 24 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-02541
548,Milestone Builder Holdings Limited,,,,,,,,,,Milestone Builder Holdings Limited interim report 2017/2018 = 進階發展集團有限公司中期報告2017/2018.,,,Hong Kong,Milestone Builder Holdings Limited,2017,,"48, 48 p. : charts ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00712
549,"Mill, John Stuart",牛雲平,,,,,,,,,On liberty = 論自由 / John Stuart Mill ; translated by 牛雲平.,,,Hong Kong,The Commercial Press (Hong Kong) Limited,2017,Penguin great ideas ; 5,"viii, 325 p. ; 21 cm.",Text in Chinese and English,978-962-07-5735-8 (pbk.),,$92.00,2018-02071
550,Million Stars Holdings Limited,,,,,,,,,,Million Stars Holdings Limited interim report 2017/2018 = 萬星控股有限公司中期報告2017/2018.,,,Hong Kong,Million Stars Holdings Limited,2018,,"36, 36 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-02105
551,Modern Beauty Salon Holdings Limited,,,,,,,,,,Modern Beauty Salon Holdings Limited interim report 2017/18 = 現代美容控股有限公司中期報告2017/18.,,,Hong Kong,Modern Beauty Salon Holdings Limited,2017,,"40, 40 p. : col. ill. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00727
552,Moiselle International Holdings Limited,,,,,,,,,,Moiselle International Holdings Limited interim report 2017/2018 = 慕詩國際集團有限公司2017/2018中期報告.,,,Hong Kong,Moiselle International Holdings Limited,2017,,"20, 20 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00944
553,Mongolia Energy Corporation Limited,,,,,,,,,,Mongolia Energy Corporation Limited interim report 2017 = 蒙古能源有限公司中期報告2017.,,,Hong Kong,Mongolia Energy Corporation Limited,2017,,"48, 48 p. ; 22 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-00066
554,"Mroziewicz, Elsa",,,,,,,,,,Peek-a-who? / Elsa Mroziewicz.,,,Hong Kong,Michael Neugebauer (Publishing) Limited,2018,,unpaged : col. ill. ; 16 cm.,,978-988-8342-68-6,,GBP8.99,2018-01894
555,"Mroziewicz, Elsa",,,,,,,,,,Peek-a-who? / Elsa Mroziewicz.,,,Hong Kong,Michael Neugebauer (Publishing) Limited,2018,,unpaged : col. ill. ; 17 cm.,,978-988-8341-57-3,,USD11.99,2018-01895
556,"Munir, Abu Bakar","Yasin, Siti Hajar Mohd","Karim, Md. Ershadul",,,,,,,,"Data protection law in Asia / Abu Bakar Munir, Siti Hajar Mohd Yasin, Md. Ershadul Karim.",2nd ed.,,Hong Kong,Thomson Reuters Hong Kong Limited,2017,,"lxiii, 396 p. ; 24 cm.",Includes bibliographical references and index,978-962-661-950-6,,$2288.00,2018-01399
557,"Munir, Abu Bakar","Yasin, Siti Hajar Mohd","Karim, Md. Ershadul",,,,,,,,"Data protection law in Asia. Student edition / Abu Bakar Munir, Siti Hajar Mohd Yasin, Md. Ershadul Karim.",2nd ed.,,Hong Kong,Thomson Reuters Hong Kong Limited,2017,,"lxiii, 396 p. ; 24 cm.",Includes bibliographical references and index,978-962-661-951-3,,$500.00,2018-01400
558,"Herrera, Mario","Hojel, Barbara",,,,,,,,,"MY little world. 2, Workbook / Mario Herrera, Barbara Hojel.",,,Hong Kong,Pearson Education Asia Limited,2017,,107 p. : ill. ; 24 x 31 cm. + 1 CD,,978-988-233-938-5 (pbk.),,$77.00 (set),2018-01683
559,"Herrera, Mario","Hojel, Barbara",,,,,,,,,"MY little world. 2A / Mario Herrera, Barbara Hojel.",,,Hong Kong,Pearson Education Asia Limited,2017,,61 p. : col. ill. ; 24 x 31 cm. + 1 CD + stickers,,978-988-233-938-5 (sp.),,$77.00 (set),2018-01684
560,"Herrera, Mario","Hojel, Barbara",,,,,,,,,"MY little world. 2B / Mario Herrera, Barbara Hojel.",,,Hong Kong,Pearson Education Asia Limited,2017,,77 p. : col. ill. ; 24 x 31 cm. + 1 CD + stickers,,978-988-233-938-5 (sp.),,$77.00 (set),2018-01685
561,NagaCorp Ltd.,,,,,,,,,,NagaCorp Ltd. 2017 annual report = 金界控股有限公司2017年報.,,,Hong Kong,NagaCorp Ltd.,2018,,"180, 180 p. : col. ill., col. charts ; 30 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-02934
562,"Chou, Alex",,,,,,,,,,NAMELESS in New York / Alex Chou ... [et al.].,,,Hong Kong,Elephant Community Press Limited,2017,,108 p. : ill. ; 21 cm.,,978-988-77189-2-5 (pbk.),,$75.00,2018-01364
563,Nan Nan Resources Enterprise Limited,,,,,,,,,,Nan Nan Resources Enterprise Limited interim report 2017 = 南南資源實業有限公司中期報告2017.,,,Hong Kong,Nan Nan Resources Enterprise Limited,2017,,"40, 40 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2018-01775
